project_id,career_title,project_title,project_description,difficulty,technologies,github_url
prj_0153,Lead Security Analyst,Lead Security Analyst Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Security Analyst.,Advanced,"Wireframing, WebStorm, ZBrush",https://github.com/example/project
prj_0154,Lead Security Analyst,Lead Security Analyst Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Security Analyst.,Intermediate,"Blender, WebRTC, Rollup",https://github.com/example/project
prj_0155,Lead Database Administrator,Lead Database Administrator Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Database Administrator.,Advanced,"Segment, Alteryx, Cloud Computing",https://github.com/example/project
prj_0156,Lead Database Administrator,Lead Database Administrator Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Database Administrator.,Advanced,"GraphQL, Probability, Plotly",https://github.com/example/project
prj_0157,Principal Frontend Developer,Principal Frontend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Frontend Developer.,Intermediate,"Ruby, TensorFlow, Prometheus",https://github.com/example/project
prj_0158,Principal Frontend Developer,Principal Frontend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Frontend Developer.,Advanced,"IoT, Eclipse, Webpack",https://github.com/example/project
prj_0159,Principal Backend Developer,Principal Backend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Backend Developer.,Beginner,"Integration Testing, Firebase Auth, Node.js",https://github.com/example/project
prj_0160,Principal Backend Developer,Principal Backend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Backend Developer.,Advanced,"Linear, Network Security, Blockchain",https://github.com/example/project
prj_0161,Principal Full Stack Developer,Principal Full Stack Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Full Stack Developer.,Beginner,"SwiftUI, Event-Driven Architecture, Generative AI",https://github.com/example/project
prj_0162,Principal Full Stack Developer,Principal Full Stack Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Full Stack Developer.,Intermediate,"Recoil, Puppet, Security Auditing",https://github.com/example/project
prj_0163,Principal Data Scientist,Principal Data Scientist Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Data Scientist.,Intermediate,"Hugo, Hugging Face, Render",https://github.com/example/project
prj_0164,Principal Data Scientist,Principal Data Scientist Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Data Scientist.,Advanced,"Azure Blob Storage, Microsoft Teams, Eclipse",https://github.com/example/project
prj_0165,Principal DevOps Engineer,Principal DevOps Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal DevOps Engineer.,Advanced,"Datadog, Stata, Elasticsearch",https://github.com/example/project
prj_0166,Principal DevOps Engineer,Principal DevOps Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal DevOps Engineer.,Intermediate,"Security Auditing, gRPC, Zoom",https://github.com/example/project
prj_0167,Principal Cloud Architect,Principal Cloud Architect Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Cloud Architect.,Beginner,"Tableau, Chef, Leadership",https://github.com/example/project
prj_0168,Principal Cloud Architect,Principal Cloud Architect Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Cloud Architect.,Advanced,"Spacy, Render, DigitalOcean Spaces",https://github.com/example/project
prj_0169,Principal Product Manager,Principal Product Manager Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Product Manager.,Advanced,"SOC Analysis, MicroStrategy, Cypress",https://github.com/example/project
prj_0170,Principal Product Manager,Principal Product Manager Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Product Manager.,Advanced,"gRPC, Jotai, Caching",https://github.com/example/project
prj_0171,Principal UI/UX Designer,Principal UI/UX Designer Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal UI/UX Designer.,Intermediate,"Elasticsearch, Vite, Deep Learning",https://github.com/example/project
prj_0172,Principal UI/UX Designer,Principal UI/UX Designer Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal UI/UX Designer.,Intermediate,"AWS SQS, MeiliSearch, Grafana",https://github.com/example/project
prj_0173,Principal Mobile Developer,Principal Mobile Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Mobile Developer.,Advanced,"Deep Learning, Data Visualization, Vim",https://github.com/example/project
prj_0174,Principal Mobile Developer,Principal Mobile Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Mobile Developer.,Beginner,"Fly.io, Ethical Hacking, Express",https://github.com/example/project
prj_0175,Principal QA Engineer,Principal QA Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal QA Engineer.,Intermediate,"Presentation Skills, macOS, Problem Solving",https://github.com/example/project
prj_0176,Principal QA Engineer,Principal QA Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal QA Engineer.,Beginner,"PHP, OpenID Connect, Chef",https://github.com/example/project
prj_0177,Principal Security Analyst,Principal Security Analyst Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Security Analyst.,Intermediate,"Leadership, Problem Solving, Webpack",https://github.com/example/project
prj_0178,Principal Security Analyst,Principal Security Analyst Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Security Analyst.,Advanced,"Godot, SAS, ETL",https://github.com/example/project
prj_0179,Principal Database Administrator,Principal Database Administrator Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Database Administrator.,Intermediate,"Matplotlib, DynamoDB, R",https://github.com/example/project
prj_0180,Principal Database Administrator,Principal Database Administrator Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Database Administrator.,Intermediate,"InVision, Network Security, Angular",https://github.com/example/project
prj_0181,Full-Stack Web Developer,Full-Stack Web Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Full-Stack Web Developer.,Intermediate,"Problem Solving, tRPC, Svelte",https://github.com/example/project
prj_0182,Full-Stack Web Developer,Full-Stack Web Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Full-Stack Web Developer.,Advanced,"Zoom, Puppet, GCP Cloud SQL",https://github.com/example/project
prj_0183,Data Scientist,Data Scientist Portfolio Project 1,A comprehensive project demonstrating skills required for a Data Scientist.,Beginner,"R, Problem Solving, Auth0",https://github.com/example/project
prj_0184,Data Scientist,Data Scientist Portfolio Project 2,A comprehensive project demonstrating skills required for a Data Scientist.,Advanced,"R, SVN, Linux",https://github.com/example/project
prj_0185,Backend Engineer,Backend Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Backend Engineer.,Beginner,"Ansible, Probability, AWS SNS",https://github.com/example/project
prj_0186,Backend Engineer,Backend Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Backend Engineer.,Intermediate,"Zsh, REST API, LangChain",https://github.com/example/project
prj_0187,Frontend Engineer,Frontend Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Frontend Engineer.,Advanced,"Neo4j, InVision, Memcached",https://github.com/example/project
prj_0188,Frontend Engineer,Frontend Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Frontend Engineer.,Beginner,"Bash, Fusion 360, Notion",https://github.com/example/project
prj_0189,DevOps Engineer,DevOps Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a DevOps Engineer.,Beginner,"AWS CloudFront, PHP, Clerk",https://github.com/example/project
prj_0190,DevOps Engineer,DevOps Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a DevOps Engineer.,Intermediate,"Data Analysis, Chef, Webpack",https://github.com/example/project
prj_0191,Machine Learning Engineer,Machine Learning Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Machine Learning Engineer.,Intermediate,"Render, Java, GitHub Actions",https://github.com/example/project
prj_0192,Machine Learning Engineer,Machine Learning Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Machine Learning Engineer.,Beginner,"OpenID Connect, ZeroMQ, Unity",https://github.com/example/project
prj_0193,Cloud Architect,Cloud Architect Portfolio Project 1,A comprehensive project demonstrating skills required for a Cloud Architect.,Beginner,"NoSQL, NLTK, Spark",https://github.com/example/project
prj_0194,Cloud Architect,Cloud Architect Portfolio Project 2,A comprehensive project demonstrating skills required for a Cloud Architect.,Advanced,"Chai, Sketch, Godot",https://github.com/example/project
prj_0195,Cybersecurity Analyst,Cybersecurity Analyst Portfolio Project 1,A comprehensive project demonstrating skills required for a Cybersecurity Analyst.,Beginner,"Nginx, Puppet, Android Studio",https://github.com/example/project
prj_0196,Cybersecurity Analyst,Cybersecurity Analyst Portfolio Project 2,A comprehensive project demonstrating skills required for a Cybersecurity Analyst.,Advanced,"Pillow, GCP Kubernetes Engine, DigitalOcean Spaces",https://github.com/example/project
prj_0197,Data Engineer,Data Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Data Engineer.,Beginner,"Integration Testing, Mongoose, Amplitude",https://github.com/example/project
prj_0198,Data Engineer,Data Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Data Engineer.,Advanced,"RxJS, AWS EC2, AWS DynamoDB",https://github.com/example/project
prj_0199,UI/UX Designer,UI/UX Designer Portfolio Project 1,A comprehensive project demonstrating skills required for a UI/UX Designer.,Advanced,"Swagger, SPSS, R",https://github.com/example/project
prj_0200,UI/UX Designer,UI/UX Designer Portfolio Project 2,A comprehensive project demonstrating skills required for a UI/UX Designer.,Beginner,"Excel, Power BI, GCP",https://github.com/example/project
prj_0201,Mobile App Developer,Mobile App Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Mobile App Developer.,Advanced,"Alteryx, CI/CD, Android Development",https://github.com/example/project
prj_0202,Mobile App Developer,Mobile App Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Mobile App Developer.,Advanced,"PayPal API, Eleventy, Heroku",https://github.com/example/project
prj_0203,AI/NLP Engineer,AI/NLP Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a AI/NLP Engineer.,Beginner,"NextAuth, OpenAPI, Babel",https://github.com/example/project
prj_0204,AI/NLP Engineer,AI/NLP Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a AI/NLP Engineer.,Beginner,"Babel, Chef, WebHooks",https://github.com/example/project
prj_0205,Blockchain Developer,Blockchain Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Blockchain Developer.,Beginner,"Django, C++, Agile",https://github.com/example/project
prj_0206,Blockchain Developer,Blockchain Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Blockchain Developer.,Beginner,"Natural Language Processing, JavaScript, GCP BigQuery",https://github.com/example/project
prj_0207,Game Developer,Game Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Game Developer.,Beginner,"Godot, Bootstrap, Sequelize",https://github.com/example/project
prj_0208,Game Developer,Game Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Game Developer.,Intermediate,"Webpack, Laravel, Rust",https://github.com/example/project
prj_0209,Site Reliability Engineer,Site Reliability Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Site Reliability Engineer.,Intermediate,"Visual Studio, Laravel, Apollo",https://github.com/example/project
prj_0210,Site Reliability Engineer,Site Reliability Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Site Reliability Engineer.,Intermediate,"Neural Networks, Microsoft Teams, Probability",https://github.com/example/project
prj_0211,Data Analyst,Data Analyst Portfolio Project 1,A comprehensive project demonstrating skills required for a Data Analyst.,Intermediate,"TypeScript, Cassandra, PowerShell",https://github.com/example/project
prj_0212,Data Analyst,Data Analyst Portfolio Project 2,A comprehensive project demonstrating skills required for a Data Analyst.,Intermediate,"GitHub Actions, Zeplin, Serverless",https://github.com/example/project
prj_0213,Product Manager,Product Manager Portfolio Project 1,A comprehensive project demonstrating skills required for a Product Manager.,Intermediate,"Socket.io, RabbitMQ, Team Collaboration",https://github.com/example/project
prj_0214,Product Manager,Product Manager Portfolio Project 2,A comprehensive project demonstrating skills required for a Product Manager.,Intermediate,"Bash, Data Warehousing, Miro",https://github.com/example/project
prj_0215,Solutions Architect,Solutions Architect Portfolio Project 1,A comprehensive project demonstrating skills required for a Solutions Architect.,Advanced,"AWS Cognito, A/B Testing, AWS S3",https://github.com/example/project
prj_0216,Solutions Architect,Solutions Architect Portfolio Project 2,A comprehensive project demonstrating skills required for a Solutions Architect.,Advanced,"Segment, Go, Tableau",https://github.com/example/project
prj_0217,QA/Test Automation Engineer,QA/Test Automation Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a QA/Test Automation Engineer.,Intermediate,"Web3, AWS, Data Warehousing",https://github.com/example/project
prj_0218,QA/Test Automation Engineer,QA/Test Automation Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a QA/Test Automation Engineer.,Advanced,"Python, JWT, Nuxt.js",https://github.com/example/project
prj_0219,Technical Writer,Technical Writer Portfolio Project 1,A comprehensive project demonstrating skills required for a Technical Writer.,Intermediate,"Husky, AWS, Critical Thinking",https://github.com/example/project
prj_0220,Technical Writer,Technical Writer Portfolio Project 2,A comprehensive project demonstrating skills required for a Technical Writer.,Intermediate,"Event-Driven Architecture, Statistics, Amplitude",https://github.com/example/project
prj_0221,IoT Developer,IoT Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a IoT Developer.,Intermediate,"Data Warehousing, Wireframing, Terraform",https://github.com/example/project
prj_0222,IoT Developer,IoT Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a IoT Developer.,Intermediate,"Computer Vision, Ruby on Rails, Excel",https://github.com/example/project
prj_0223,Platform Engineer,Platform Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Platform Engineer.,Beginner,"AWS EC2, InVision, Redis",https://github.com/example/project
prj_0224,Platform Engineer,Platform Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Platform Engineer.,Beginner,"Puppet, tRPC, Dart",https://github.com/example/project
prj_0225,Generative AI Engineer,Generative AI Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Generative AI Engineer.,Beginner,"Cassandra, Docker Compose, C++",https://github.com/example/project
prj_0226,Generative AI Engineer,Generative AI Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Generative AI Engineer.,Advanced,"Message Queues, MQTT, Java",https://github.com/example/project
prj_0227,Computer Vision Engineer,Computer Vision Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Computer Vision Engineer.,Advanced,"AR/VR, Zeplin, Gatsby",https://github.com/example/project
prj_0228,Computer Vision Engineer,Computer Vision Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Computer Vision Engineer.,Advanced,"Technical Writing, DynamoDB, Render",https://github.com/example/project
prj_0229,Full-Stack AI Developer,Full-Stack AI Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Full-Stack AI Developer.,Beginner,"Altair, TDD, Trello",https://github.com/example/project
prj_0230,Full-Stack AI Developer,Full-Stack AI Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Full-Stack AI Developer.,Intermediate,"Chart.js, Express, NLTK",https://github.com/example/project
prj_0231,Junior Frontend Developer,Junior Frontend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Frontend Developer.,Advanced,"SOC Analysis, React, IoT",https://github.com/example/project
prj_0232,Junior Frontend Developer,Junior Frontend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Frontend Developer.,Beginner,"Chef, Azure Kubernetes Service, Leadership",https://github.com/example/project
prj_0233,Junior Backend Developer,Junior Backend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Backend Developer.,Advanced,"Render, Google Analytics, Astro",https://github.com/example/project
prj_0234,Junior Backend Developer,Junior Backend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Backend Developer.,Beginner,"Hugo, GraphQL API, Substance Painter",https://github.com/example/project
prj_0235,Junior Full Stack Developer,Junior Full Stack Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Full Stack Developer.,Beginner,"Event-Driven Architecture, Problem Solving, Framer",https://github.com/example/project
prj_0236,Junior Full Stack Developer,Junior Full Stack Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Full Stack Developer.,Intermediate,"SVN, React Native, Chef",https://github.com/example/project
prj_0237,Junior Data Scientist,Junior Data Scientist Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Data Scientist.,Beginner,"Highcharts, Natural Language Processing, Prometheus",https://github.com/example/project
prj_0238,Junior Data Scientist,Junior Data Scientist Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Data Scientist.,Intermediate,"Nmap, Matplotlib, Twilio API",https://github.com/example/project
prj_0239,Junior DevOps Engineer,Junior DevOps Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior DevOps Engineer.,Beginner,"Statistics, Snowflake, Jest",https://github.com/example/project
prj_0240,Junior DevOps Engineer,Junior DevOps Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior DevOps Engineer.,Beginner,"Xcode, Zustand, macOS",https://github.com/example/project
prj_0241,Junior Cloud Architect,Junior Cloud Architect Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Cloud Architect.,Intermediate,"Prophet, Snowflake, ZBrush",https://github.com/example/project
prj_0242,Junior Cloud Architect,Junior Cloud Architect Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Cloud Architect.,Beginner,"User Research, Miro, PowerShell",https://github.com/example/project
prj_0243,Junior Product Manager,Junior Product Manager Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Product Manager.,Advanced,"Probability, SQLite, Next.js",https://github.com/example/project
prj_0244,Junior Product Manager,Junior Product Manager Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Product Manager.,Intermediate,"Nginx, Vue.js, Azure VMs",https://github.com/example/project
prj_0245,Junior UI/UX Designer,Junior UI/UX Designer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior UI/UX Designer.,Advanced,"R, Zsh, Tailwind CSS",https://github.com/example/project
prj_0246,Junior UI/UX Designer,Junior UI/UX Designer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior UI/UX Designer.,Advanced,"Vim, Jekyll, Solidity",https://github.com/example/project
prj_0247,Junior Mobile Developer,Junior Mobile Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Mobile Developer.,Intermediate,"RxJS, Django, Unreal Engine",https://github.com/example/project
prj_0248,Junior Mobile Developer,Junior Mobile Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Mobile Developer.,Advanced,"Zsh, PyTorch, Data Modeling",https://github.com/example/project
prj_0249,Junior QA Engineer,Junior QA Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior QA Engineer.,Beginner,"Blockchain, Miro, Swift",https://github.com/example/project
prj_0250,Junior QA Engineer,Junior QA Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior QA Engineer.,Advanced,"Team Collaboration, Cryptography, Android Development",https://github.com/example/project
prj_0251,Junior Security Analyst,Junior Security Analyst Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Security Analyst.,Intermediate,"Google Analytics, Zsh, Sketch",https://github.com/example/project
prj_0252,Junior Security Analyst,Junior Security Analyst Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Security Analyst.,Beginner,"AWS SQS, Eleventy, Spark",https://github.com/example/project
prj_0253,Junior Database Administrator,Junior Database Administrator Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Database Administrator.,Intermediate,"REST API, Jira, SAML",https://github.com/example/project
prj_0254,Junior Database Administrator,Junior Database Administrator Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Database Administrator.,Advanced,"Azure Functions, RapidMiner, Playwright",https://github.com/example/project
prj_0255,Senior Frontend Developer,Senior Frontend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Frontend Developer.,Intermediate,"Firebase Auth, Android Development, FastAPI",https://github.com/example/project
prj_0256,Senior Frontend Developer,Senior Frontend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Frontend Developer.,Advanced,"Slack, Chart.js, Wireshark",https://github.com/example/project
prj_0257,Senior Backend Developer,Senior Backend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Backend Developer.,Beginner,"Domain-Driven Design, Critical Thinking, Laravel",https://github.com/example/project
prj_0258,Senior Backend Developer,Senior Backend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Backend Developer.,Beginner,"A/B Testing, Integration Testing, Responsive Design",https://github.com/example/project
prj_0259,Senior Full Stack Developer,Senior Full Stack Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Full Stack Developer.,Intermediate,"Husky, Slack, Design Systems",https://github.com/example/project
prj_0260,Senior Full Stack Developer,Senior Full Stack Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Full Stack Developer.,Beginner,"Kotlin, Machine Learning, Microsoft Teams",https://github.com/example/project
prj_0261,Senior Data Scientist,Senior Data Scientist Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Data Scientist.,Beginner,"TDD, AWS CloudFront, Domain-Driven Design",https://github.com/example/project
prj_0262,Senior Data Scientist,Senior Data Scientist Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Data Scientist.,Intermediate,"Husky, Sequelize, New Relic",https://github.com/example/project
prj_0263,Senior DevOps Engineer,Senior DevOps Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior DevOps Engineer.,Advanced,"Hadoop, PHP, DigitalOcean Spaces",https://github.com/example/project
prj_0264,Senior DevOps Engineer,Senior DevOps Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior DevOps Engineer.,Advanced,"AR/VR, React Native, Message Queues",https://github.com/example/project
prj_0265,Senior Cloud Architect,Senior Cloud Architect Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Cloud Architect.,Intermediate,"NLTK, Linux, iOS Development",https://github.com/example/project
prj_0266,Senior Cloud Architect,Senior Cloud Architect Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Cloud Architect.,Advanced,"Critical Thinking, Data Modeling, NATS",https://github.com/example/project
prj_0267,Senior Product Manager,Senior Product Manager Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Product Manager.,Advanced,"Dart, Auth0, Machine Learning",https://github.com/example/project
prj_0268,Senior Product Manager,Senior Product Manager Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Product Manager.,Intermediate,"JWT, Domain-Driven Design, Scala",https://github.com/example/project
prj_0269,Senior UI/UX Designer,Senior UI/UX Designer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior UI/UX Designer.,Intermediate,"Seaborn, Flutter, GraphQL API",https://github.com/example/project
prj_0270,Senior UI/UX Designer,Senior UI/UX Designer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior UI/UX Designer.,Beginner,"Node.js, Jekyll, Hugo",https://github.com/example/project
prj_0271,Senior Mobile Developer,Senior Mobile Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Mobile Developer.,Intermediate,"PHP, Wireshark, Dart",https://github.com/example/project
prj_0272,Senior Mobile Developer,Senior Mobile Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Mobile Developer.,Intermediate,"NumPy, OpenID Connect, Express",https://github.com/example/project
prj_0273,Senior QA Engineer,Senior QA Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior QA Engineer.,Intermediate,"CSS, Prototyping, Xcode",https://github.com/example/project
prj_0274,Senior QA Engineer,Senior QA Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior QA Engineer.,Advanced,"Prisma, Mixpanel, MATLAB",https://github.com/example/project
prj_0275,Senior Security Analyst,Senior Security Analyst Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Security Analyst.,Intermediate,"Unix, Algolia, Scrum",https://github.com/example/project
prj_0276,Senior Security Analyst,Senior Security Analyst Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Security Analyst.,Beginner,"WebSockets, Neo4j, Supabase",https://github.com/example/project
prj_0277,Senior Database Administrator,Senior Database Administrator Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Database Administrator.,Advanced,"C#, Webpack, User Research",https://github.com/example/project
prj_0278,Senior Database Administrator,Senior Database Administrator Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Database Administrator.,Intermediate,"Prettier, Vite, Azure VMs",https://github.com/example/project
prj_0279,Lead Frontend Developer,Lead Frontend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Frontend Developer.,Intermediate,"Prisma, Sentry, Google Maps API",https://github.com/example/project
prj_0280,Lead Frontend Developer,Lead Frontend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Frontend Developer.,Intermediate,"Supabase, Load Balancing, Windows",https://github.com/example/project
prj_0281,Lead Backend Developer,Lead Backend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Backend Developer.,Intermediate,"Natural Language Processing, New Relic, Design Systems",https://github.com/example/project
prj_0282,Lead Backend Developer,Lead Backend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Backend Developer.,Beginner,"Esbuild, ETL, Serverless",https://github.com/example/project
prj_0283,Lead Full Stack Developer,Lead Full Stack Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Full Stack Developer.,Beginner,"AWS EC2, React, Ethical Hacking",https://github.com/example/project
prj_0284,Lead Full Stack Developer,Lead Full Stack Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Full Stack Developer.,Beginner,"GraphQL API, TDD, DigitalOcean Droplets",https://github.com/example/project
prj_0285,Lead Data Scientist,Lead Data Scientist Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Data Scientist.,Advanced,"Java, Network Security, OAuth",https://github.com/example/project
prj_0286,Lead Data Scientist,Lead Data Scientist Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Data Scientist.,Intermediate,"MongoDB, AWS Cognito, Sequelize",https://github.com/example/project
prj_0287,Lead DevOps Engineer,Lead DevOps Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead DevOps Engineer.,Advanced,"Fly.io, DigitalOcean Spaces, Responsive Design",https://github.com/example/project
prj_0288,Lead DevOps Engineer,Lead DevOps Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead DevOps Engineer.,Intermediate,"Prettier, Hugo, Trello",https://github.com/example/project
prj_0289,Lead Cloud Architect,Lead Cloud Architect Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Cloud Architect.,Intermediate,"RabbitMQ, PyCharm, Scrum",https://github.com/example/project
prj_0290,Lead Cloud Architect,Lead Cloud Architect Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Cloud Architect.,Beginner,"Blender, AWS RDS, Puppet",https://github.com/example/project
prj_0291,Lead Product Manager,Lead Product Manager Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Product Manager.,Intermediate,"Vue.js, PostgreSQL, AWS S3",https://github.com/example/project
prj_0292,Lead Product Manager,Lead Product Manager Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Product Manager.,Beginner,"WebSockets, Highcharts, AWS EKS",https://github.com/example/project
prj_0293,Lead UI/UX Designer,Lead UI/UX Designer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead UI/UX Designer.,Advanced,"Computer Vision, UI/UX Design, React Native",https://github.com/example/project
prj_0294,Lead UI/UX Designer,Lead UI/UX Designer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead UI/UX Designer.,Advanced,"Ruby, Event-Driven Architecture, Streamlit",https://github.com/example/project
prj_0295,Lead Mobile Developer,Lead Mobile Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Mobile Developer.,Intermediate,"Scala, ETL, MobX",https://github.com/example/project
prj_0296,Lead Mobile Developer,Lead Mobile Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Mobile Developer.,Beginner,"Zeplin, Jotai, Mixpanel",https://github.com/example/project
